Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Кабаненко,Мирон,Веніяминович,Чоловіча,1943-09-02,Педагог,село Карлівка,"парк Український 3-й, буд. 59, Сімферополь, 08054",572 16 73,ierchenkohanna@example.com
Штепа,Олесь,Устимович,Чоловіча,1963-03-29,Підприємець,місто Винники,"сквер Маршрутна, буд. 0, Мелітополь, 44295",+380 14 600-11-69,kabaliuknataliia@example.net
Микитюк,Леонід,Владиславович,Чоловіча,2002-02-23,Археолог,селище Черкаси,"проспект Мечникова, буд. 8, Кам'янець-Подільський, 66249",037 006-07-04,zhadanmakar@example.com
Венгринович,Устим,Панасович,Чоловіча,1965-02-08,Нотаріус,хутір Березівка,"сквер Травневий 2-й, буд. 2 кв. 082, Кобеляки, 92271",535-39-58,olha50@example.org
Ажажа,Гаврило,Ігорович,Чоловіча,1973-11-25,Маркетолог,місто Зимогір'я,"узвіз Злакова, буд. 0, Рівне, 44574",+380 95 465 22 76,irenatryhub@example.net
Худобʼяк,Василь,Яковович,Чоловіча,1941-02-09,Штукатур,хутір Каховка,"набережна Мукачівський, буд. 4 кв. 72, Радехів, 01460",+380 03 110-58-68,levkopiatachenko@example.com
Ейбоженко,Роман,Віталійович,Чоловіча,1998-05-14,Нотаріус,селище Чугуїв,"шосе Жуковського, буд. 1, Суходільськ, 28894",+380 82 044 35 33,illiacharnysh@example.org
Талан,Ілля,Юстимович,Чоловіча,1969-11-08,Живописець,хутір Баранівка,"парк Каманіна, буд. 75 кв. 88, Бахмут, 96282",+380 78 280 97 85,bohodar97@example.org
Алексійчук,Франц,Єфремович,Чоловіча,1941-02-22,Вчитель,хутір Борщів,"площа Восьмого березня 6-й, буд. 98, Прилуки, 22122",+380 70 127 54 65,iakymchukieva@example.net
Чорновіл,Гаврило,Григорійович,Чоловіча,1969-05-15,Хореограф,місто Бурштин ,"узвіз Восьмого березня 7-й, буд. 56 кв. 4, Бершадь, 78985",770 71 85,nataliia85@example.org
Павлик,Панас,Алевтинович,Чоловіча,2002-08-07,Клоун,село Кременець,"сквер Авангардна, буд. 38, Арциз, 53469",159 54 05,shamraimariana@example.org
Ребрик,Владислав,Климентович,Чоловіча,1945-11-19,Візажист,хутір Судак ,"вулиця Макова, буд. 4, Першотравенськ, 99076",451 12 28,alevtynhaidai@example.com
Девдюк,Франц,Макарович,Чоловіча,1953-08-24,Правник,хутір Боярка,"набережна Дубова, буд. 64, Дружківка, 87197",+380 73 528 07 45,prokhir44@example.org
Запорожець,Онисим,Леонідович,Чоловіча,2006-02-25,Електротехнік,місто Зборів,"узвіз Щоголєва, буд. 818 кв. 9, Ізмаїл, 77654",+380 84 545-54-13,khorishkoteodor@example.org
Вдовенко,Аврелій,Георгійович,Чоловіча,1955-11-23,Мінералог,селище Старий Крим,"узвіз Лінія 35-та, буд. 743, Чистякове, 50687",+380 78 410-94-86,komarroksolana@example.org
Павлик,Нестор,Віталійович,Чоловіча,1969-08-07,Електромонтажник,місто Монастириська,"шосе Юхима Геллера, буд. 0, Звенигородка, 03579",827 39 36,volodymyrabalaban@example.org
Твердохліб,Назар,Тарасович,Чоловіча,1969-01-04,Живописець,селище Прип'ять ,"шосе Овідіопольська дорога, буд. 2 кв. 546, Нова Каховка, 10322",+380 71 219-01-70,haidanestor@example.com
Алексюк,Веніямин,Євгенійович,Чоловіча,1988-02-09,Секретар,хутір Богодухів,"парк Стражеска Миколи, буд. 3 кв. 50, Антрацит , 04429",+380 07 827-88-46,lkharchenko@example.org
Ільєнко,Богодар,Амвросійович,Чоловіча,1982-04-04,Провізор,селище Новий Калинів,"набережна Павлова, буд. 70, Шостка, 46350",+380 67 558-01-66,aronetskyrylo@example.net
Гузенко,Веніямин,Яремович,Чоловіча,1955-04-07,Слідчий,хутір Бучач,"узвіз Лунний, буд. 299 кв. 4, Ромни, 04018",+380 50 421 83 41,nlysenko@example.net
Чуйко,Вадим,Азарович,Чоловіча,2000-05-16,Промисловець,хутір Берегове,"шосе Деволанівський узвіз, буд. 8 кв. 1, Бар, 43164",032 063 73 53,nazarderkach@example.net
Іващенко,Марко,Владиславович,Чоловіча,1943-11-20,Фармацевт,місто Луцьк,"набережна Балтський 3-й, буд. 979 кв. 997, Чернігів, 48575",+380 15 024 05 92,sirobabalevko@example.net
Тичина,Спас,Хомович,Чоловіча,2007-04-06,Локсмайстер,хутір Новодружеськ,"шосе Бориса Дерев'янка, буд. 837, Кипуче, 31257",+380 26 308-95-83,panas01@example.com
Архипенко,Дмитро,Болеславович,Чоловіча,1976-10-13,Реставратор,місто Тлумач,"набережна Друга, буд. 123 кв. 866, Севастополь, 60943",+380 (10) 222-81-91,ihorskyrda@example.net
Царенко,Феофан,Устимович,Чоловіча,1945-03-02,Художник,місто Одеса,"провулок Висока, буд. 13 кв. 68, Щолкіне, 83096",+380 (22) 084-55-15,arkhypenkoalla@example.net
Шведченко,Орхип,Васильович,Чоловіча,1953-10-06,Стропальник,місто Вінниця,"шосе Весела, буд. 5 кв. 389, Мар'їнка, 62859",620 17 14,liliia28@example.com
Єщенко,Ярема,Іванович,Чоловіча,1949-04-23,Етнограф,село Коломия,"парк Леваневського тупик, буд. 1, Миргород, 32281",+380 82 312-04-64,shyloihnat@example.com
Бараник,Левко,Антонович,Чоловіча,2007-07-23,Кінорежисер,місто Сторожинець,"парк Чумацька, буд. 075, Бібрка, 01598",097 192 01 81,kyrylo40@example.net
Яценюк,Єлисей,Несторович,Чоловіча,1980-02-28,Геофізик,селище Добропілля,"набережна Трудових резервів, буд. 634, Мерефа, 44901",+380 46 351-87-41,mneporozhnii@example.com
Гаврилів,Марко,Амвросійович,Чоловіча,1982-03-23,Фольклорист,хутір Біла Церква,"вулиця Навігаційний, буд. 87 кв. 4, Трускавець, 12859",+380 88 322-48-22,dmytrokhudiak@example.net
Фаренюк,Єфрем,Симонович,Чоловіча,1968-10-22,Професор,хутір Енергодар,"набережна Абрикосовий, буд. 87 кв. 76, Глобине, 36804",+380 97 337 14 09,iaremenkoveniiamyn@example.org
Балабан,Леонтій,Данилович,Чоловіча,1971-11-26,Електрослюсар,село Броди,"проспект Бучми, буд. 450 кв. 02, Ямпіль, 40344",+380 51 658-61-23,ihnatzaika@example.com
Луценко,Алевтин,Амвросійович,Чоловіча,1982-01-05,Випробувач,місто Вугледар,"сквер Кришталева, буд. 90, Павлоград, 94628",+380 43 986-91-85,sbandurka@example.net
Левченко,Онисим,Гаврилович,Чоловіча,1991-06-21,Графік,селище Чугуїв,"вулиця Волоколамська, буд. 36, Шахтарськ, 51192",+380 42 148 41 07,kozakiryna@example.com
Гаврилець,Демʼян,Прохорович,Чоловіча,2008-06-26,Біолог,місто Сарни,"площа Проценка, буд. 636, Новоград-Волинський, 09165",+380 95 694-42-09,svitlanaiarosh@example.org
Швачко,Ярослав,Давидович,Чоловіча,1994-02-14,Фармацевт,село Христинівка,"сквер 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 8 кв. 2, Надвірна, 93448",526-34-81,karmaliukroman@example.net
Сич,Охрім,Данилович,Чоловіча,1946-03-28,Фотограф,селище Енергодар,"проспект Різдвяна, буд. 85, Гірник , 67061",771 15 33,apoltavets@example.net
Ляшко,Вадим,Аврелійович,Чоловіча,1989-10-20,Менеджер,селище Харцизьк,"шосе Східний 1-й, буд. 416 кв. 4, Кам'янське, 74597",+380 04 969-89-31,qieremenko@example.com
Матяш,Орест,Демʼянович,Чоловіча,1944-10-20,Математик,село Феодосія,"парк Восьмого Березня Лінія 2-га, буд. 887 кв. 263, Моспине, 44782",+380 31 482 16 95,leontiinalyvaiko@example.net
Швайка,Михайло,Панасович,Чоловіча,1966-03-15,Кушнір,хутір Білопілля,"провулок Юрія Олеші, буд. 97, Нетішин, 10260",+380 16 904 27 52,opanas69@example.net
Чабан,Герман,Альбертович,Чоловіча,1941-01-13,Палеонтолог,місто Алчевськ,"провулок Балтський 7-й, буд. 72, Березне, 23142",962 34 59,ievagalagan@example.org
Корсун,Ігнат,Володимирович,Чоловіча,1980-10-29,Петрограф,місто Кіцмань,"проспект Офіцерський 1-й, буд. 9 кв. 77, Рені, 20796",831-35-61,vatamaniukamaliia@example.com
Юрчук,Демид,Станіславович,Чоловіча,1997-09-15,Агроном,село Овруч,"набережна Олександра Кутузакія, буд. 87, Баштанка, 24175",+380 85 848 12 34,kamillazakusylo@example.org
Дейнеко,Іван,Григорійович,Чоловіча,1990-10-26,Менеджер,селище Біляївка,"проспект Ясна, буд. 500, Вільнянськ, 91993",+380 (78) 188-20-79,martyndrozdenko@example.net
Гоголь-Яновський,Єфрем,Мартинович,Чоловіча,1986-07-14,Педагог,місто Кілія,"сквер Машинобудівний, буд. 76 кв. 008, Соледар, 30487",241-25-57,teodorvelychko@example.net
Іваничук,Микита,Охрімович,Чоловіча,1940-04-16,Електрослюсар,хутір Остер ,"вулиця Махачкалинська, буд. 01 кв. 675, Костопіль, 43297",+380 15 120 62 83,orest10@example.com
Скопенко,Остап,Алевтинович,Чоловіча,1941-04-14,Прокурор,село Снятин,"вулиця 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 944 кв. 379, Золотоноша, 37029",999 61 03,stanislavtereshchuk@example.org
Дубенко,Ярема,Богодарович,Чоловіча,1943-06-18,Кур'єр,місто Перещепине,"набережна Балтський 6-й, буд. 8 кв. 9, Севастополь, 79292",+380 96 653 56 41,yrubets@example.net
Кальченко,Валентин,Захарович,Чоловіча,1996-08-31,Журналіст,селище Ходорів,"шосе Калнишевського Петра, буд. 607, Надвірна, 70434",+380 82 227-15-69,sviatoslavopanasenko@example.org
Корпанюк,Юхим,Васильович,Чоловіча,2004-03-19,Штукатур,хутір Південне ,"проспект Дружний, буд. 261, Боково-Хрустальне, 70384",001 837 63 42,demydartymyshyn@example.org
Самойленко,Віталій,Єфремович,Чоловіча,1960-05-27,Зоолог,селище Первомайськ,"шосе Асташкіна, буд. 6 кв. 213, Самбір, 77364",082-42-63,trokhymkozachenko@example.org
Червоненко,Йосип,Єлисейович,Чоловіча,1972-07-19,Ґрунтознавець,хутір Підгородне,"сквер Івана Вазова, буд. 1 кв. 30, Вільнянськ, 50845",089 356 76 03,pushkarmartyn@example.org
Супруненко,Юхим,Устимович,Чоловіча,1939-09-24,Кінолог,селище Первомайськ,"провулок Миколи Вороного, буд. 092, Старий Крим, 04061",994-39-66,ostap41@example.net
Уманець,Макар,Аврелійович,Чоловіча,1990-02-12,Бізнесмен,місто Жашків,"узвіз Вчительської, 2-й, буд. 06, Привілля, 89101",059 915-29-69,nriabets@example.net
Лаба,Левко,Охрімович,Чоловіча,1959-07-14,Астрофізик,село Арциз,"набережна Авангардна, буд. 4, Суходільськ, 72628",909 13 98,tymofiibazylevych@example.org
Савенко,Олександр,Леопольдович,Чоловіча,1946-07-19,Реставратор,хутір Верхньодніпровськ,"вулиця Угорська, буд. 009, Верхньодніпровськ, 85412",+380 89 895-96-42,solomiiasatsiuk@example.net
Шаповал,Нестор,Бориславович,Чоловіча,1953-10-31,Фармацевт,хутір Борщів,"провулок Чорноморка, буд. 9, Першотравенськ, 74919",+380 (32) 355-63-13,zatulaiaryna@example.org
Тихий,Зорян,Данилович,Чоловіча,1942-04-26,Головний меркшейдер,селище Полтава,"сквер Мазараті, буд. 121, Кілія, 91627",147 88 66,shyianokhrim@example.com
Артим,Павло,Несторович,Чоловіча,1990-06-13,Журналіст,село Каховка,"шосе Першотравневий 3-й, буд. 189 кв. 689, Ківерці, 39359",+380 69 090 97 94,oleksandr90@example.net
Вівчаренко,Пантелеймон,Валентинович,Чоловіча,1963-03-26,Ботанік,хутір Чорнобиль,"сквер Центральна, буд. 17, Семенівка, 24947",+380 43 079 45 27,shteparoksolana@example.org
Гайдабура,Стефан,Климентович,Чоловіча,1941-06-23,Гірничий інженер,хутір Сокаль,"узвіз Академіка Корольова, буд. 4, Козятин, 59689",457 95 76,serhiiartym@example.org
Забарний,Олекса,Остапович,Чоловіча,1957-08-03,Візажист,селище Лисичанськ,"вулиця Березовий, буд. 01 кв. 9, Збараж, 51137",+380 51 238 03 27,esymonenko@example.net
Тимчук,Георгій,Болеславович,Чоловіча,1960-04-17,Співак,селище Іршава,"шосе Колонічна, буд. 0, Апостолове, 13287",+380 25 803-43-92,danylohabelko@example.com
Мірошниченко,Демʼян,Кирилович,Чоловіча,1939-03-27,Електромонтер,село Бахмут,"проспект Бузковий 2-й, буд. 45 кв. 2, Куп'янськ, 67551",967-39-90,orestsheremeta@example.org
Дубас,Болеслав,Давидович,Чоловіча,1998-07-01,Етнограф,село Феодосія,"сквер Чернігівський, буд. 6, Червоноград, 50339",044 450 96 73,uzakharchenko@example.org
Ґерета,Франц,Веніяминович,Чоловіча,1964-09-02,Електрик,селище Судова Вишня,"вулиця Шишкіна 3-й, буд. 632, Лиман , 39706",+380 39 728 46 09,chubaiiaroslav@example.net
Оробець,Пилип,Богодарович,Чоловіча,1968-06-21,Етнограф,хутір Миргород,"вулиця Ванцетті, буд. 40, Алчевськ, 02750",+380 (83) 749-91-70,bevzenkookhrim@example.org
Конопленко,Вʼячеслав,Остапович,Чоловіча,1959-09-18,Мистецтвознавець,хутір Великі Мости,"вулиця Шовкуненка, буд. 305 кв. 43, Острог, 63313",+380 35 370-76-55,huzenkoleopold@example.org
Бабариченко,Олесь,Максимович,Чоловіча,1969-05-09,Няня,село Бершадь,"парк Лиманчик 2-й Лінія 2-га, буд. 026 кв. 38, Енергодар, 62042",749-81-19,charnyshnadiia@example.org
Чумак,Ярема,Демидович,Чоловіча,2000-06-26,Електрослюсар,місто Радивилів,"шосе Теліги Олени, буд. 11 кв. 17, Подільськ, 59481",090 345 40 26,havrylo66@example.org
Ватаманюк,Юстим,Богданович,Чоловіча,1987-05-10,Вчитель,селище Інкерман,"площа Професора Каришковського, буд. 43, Немирів, 69910",798 57 34,adasirchenko@example.org
Перебийніс,Гордій,Аркадійович,Чоловіча,1939-02-05,Скульптор,село Почаїв,"парк Ольгіївська, буд. 729, Українськ, 49426",+380 76 092-06-56,herman71@example.com
Чуприна,Гордій,Устимович,Чоловіча,2004-08-03,Флорист,село Андрушівка,"узвіз Політкаторжан, буд. 283 кв. 8, Харків, 03378",+380 05 252-40-95,yvashchenko@example.org
Рубан,Макар,Мартинович,Чоловіча,1946-07-11,Няня,селище Вуглегірськ,"набережна Тираспольська, буд. 805 кв. 23, Яремче, 08485",+380 33 292-42-39,viemets@example.net
Заруба,Азар,Глібович,Чоловіча,1941-12-17,Модельєр,місто Гуляйполе,"площа Косовська, буд. 7 кв. 7, Новоград-Волинський, 76746",036 292-43-23,andriiieresko@example.net
Засядько,Орхип,Борисович,Чоловіча,1992-03-27,Сценарист,селище Городок,"проспект Дунаєвського, буд. 608 кв. 659, Дрогобич, 31120",025 614 95 42,hupalohavrylo@example.net
Самойленко,Ярема,Данилович,Чоловіча,1981-08-29,Адвокат,місто Галич,"парк Шебелінський, буд. 805 кв. 4, Белз, 21738",605 44 79,liubovholyk@example.com
Данилюк,Костянтин,Леонідович,Чоловіча,1998-06-20,Історик,село Соледар,"провулок Пересипська 10-та, буд. 173, Бершадь, 33831",013 498 33 59,kopytkonazar@example.com
Лагода,Сергій,Владиславович,Чоловіча,1956-12-13,Кухар,хутір Погребище,"площа Кощового отамана, буд. 957, Щолкіне, 59225",+380 19 596 80 09,pavlo67@example.net
Козаченко,Арсен,Олександрович,Чоловіча,1996-12-28,Реставратор,село Феодосія,"узвіз Глазунова, буд. 0 кв. 96, Вилкове, 89351",+380 (55) 501-36-63,ostap44@example.org
Демʼяненко,Богодар,Аврелійович,Чоловіча,1981-09-13,Кухар,селище Бершадь,"провулок Агрономічний, буд. 5, Кодима, 75767",+380 25 838-83-46,volodymyrabevzenko@example.com
Гуцуляк,Орест,Георгійович,Чоловіча,1992-04-21,Диригент,хутір Обухів,"вулиця Єлісаветинська, буд. 948, Таврійськ, 15490",073 023 06 46,iustyna10@example.com
Кибкало,Азар,Васильович,Чоловіча,1984-10-20,Палеонтолог,село Южноукраїнськ,"парк Бузкова, буд. 52, Тростянець, 50388",+380 02 418-74-81,qkorsun@example.net
Штокало,Ярослав,Опанасович,Чоловіча,1994-07-08,Медик,місто Почаїв,"вулиця Амбулаторний, буд. 13, Рахів, 32173",+380 37 102-71-58,iaryna30@example.net
Пушкар,Максим,Русланович,Чоловіча,1964-01-30,Реабілітолог,селище Хрустальний,"площа Амурська, буд. 56 кв. 410, Тисмениця, 60406",+380 (02) 716-90-01,ihor80@example.com
Барабаш,Соломон,Гордійович,Чоловіча,1984-11-20,Електротехнік,місто Кілія,"сквер Зоряна, буд. 9, Ватутіне, 75018",+380 (75) 883-67-52,zlatoslavaduplii@example.net
Тягнибок,Франц,Едуардович,Чоловіча,1938-04-19,Будник,хутір Стрий,"набережна Маяковського, буд. 529, Красноперекопськ, 02160",450 77 27,vzinchuk@example.com
Дахно,Гліб,Григорійович,Чоловіча,1944-12-10,Фотограф,село Турка,"сквер Зелена гірка, буд. 66 кв. 74, Снятин, 13809",167 22 13,hermanakulenko@example.org
Супруненко,Станіслав,Августинович,Чоловіча,1975-04-02,Продюсер,село Коростишів,"шосе 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 03 кв. 810, Новий Калинів, 15135",032-11-10,hsavenko@example.org
Джус,Едуард,Алевтинович,Чоловіча,2003-03-04,Дерун,селище Ланівці,"узвіз Десятого квітня, буд. 819, Перещепине, 94021",083 197 00 03,iaryna69@example.org
Скорик,Михайло,Устимович,Чоловіча,1965-05-28,Дерун,село Ізюм,"парк Шампанський, буд. 40, Долина , 72740",+380 (75) 765-70-70,ivanchenkoboleslav@example.org
Товстуха,Аркадій,Володимирович,Чоловіча,1996-04-21,Перекладач,селище Кипуче,"парк Композитора Ніщинського, буд. 96 кв. 7, Вараш, 34435",045 638 86 82,borys05@example.net
Євтушенко,Миколай,Тарасович,Чоловіча,1998-01-30,Няня,село Бахмач,"парк Бузковий 1-й, буд. 006 кв. 80, Батурин, 29476",055 691-97-45,qoberemko@example.net
Фоменко,Пармен,Несторович,Чоловіча,1941-12-13,Пілот,село Красноград,"вулиця Тролейбусна, буд. 36 кв. 743, Теребовля, 02512",+380 (11) 297-78-77,petliuraalina@example.net
Франко,Альберт,Стефанович,Чоловіча,1967-05-20,Електрик,селище Комарно,"сквер Глазунова, буд. 9 кв. 16, Гайсин, 01966",+380 44 304-91-93,okseniia64@example.org
Комар,Вадим,Єлисейович,Чоловіча,1994-09-09,Правник,хутір Охтирка,"вулиця Злакова, буд. 193 кв. 9, Прип'ять , 12973",523 28 36,pavlenkoleon@example.org
Абраменко,Єфрем,Олексович,Чоловіча,1954-12-29,Агроном,селище Балта,"вулиця Новгородський, буд. 4, Берегове, 96781",055 814 15 70,rkhrystenko@example.net
Лупій,Олег,Тарасович,Чоловіча,2000-10-13,Письменник,село Богодухів,"шосе Східчастий 4-й, буд. 73, Покровськ, 07691",001 853-75-94,ievtushokvarfolomii@example.org
Полтавець,Арсен,Владиславович,Чоловіча,2002-11-03,Літературознавець,місто Вилкове,"шосе Чехова, буд. 309 кв. 742, Бобринець, 11034",093 48 94,havrylo51@example.com
Чалий,Ілля,Кирилович,Чоловіча,1951-04-01,Публіцист,місто Костопіль,"провулок Леонтовича, буд. 29, Токмак, 12685",567-64-65,bazavluchenkovalerii@example.net
Їжакевич,Алевтин,Андрійович,Чоловіча,1957-01-15,Машиніст,село Нікополь,"парк Яблочкіної, буд. 24 кв. 49, Сокаль, 47697",933 06 03,semendanylchuk@example.org
Артеменко,Веніямин,Романович,Чоловіча,1946-04-23,Дерун,селище Новодружеськ,"парк Байдарочний, буд. 300 кв. 422, Петрово-Красносілля, 06810",070 067-79-83,solomiia22@example.net
Бараник,Андрій,Симонович,Чоловіча,1982-03-31,Няня,хутір Новоукраїнка,"парк Джерельна, буд. 851, Авдіївка, 51553",+380 (73) 070-38-93,halyna72@example.net
Гресь,Йосип,Демʼянович,Чоловіча,1982-01-13,Бізнесмен,місто Ходорів,"парк Заводська 4-та, буд. 77 кв. 5, Вишневе , 65504",109 24 74,iakivshablii@example.org
Пелех,Захар,Болеславович,Чоловіча,1985-01-06,Промисловець,хутір Рогатин,"площа Мариністів, буд. 0 кв. 34, Жмеринка, 39069",544 49 39,kdemianiuk@example.net
Матяш,Станіслав,Ярославович,Чоловіча,1997-05-16,Мінералог,місто Дніпро ,"сквер Головківська, буд. 47, Ананьїв, 79949",+380 84 087 82 39,wdankiv@example.net
Семенченко,Юстим,Лукʼянович,Чоловіча,1989-10-06,Мікробіолог,селище Приморськ (Україна),"шосе Церковна, буд. 0 кв. 461, Залізне, 39761",+380 00 038-47-24,adamchukihnat@example.org
Чарниш,Мартин,Альбертович,Чоловіча,1941-05-06,Лікар,селище Слов'янськ,"вулиця Тупиковий 2-й, буд. 80 кв. 6, Березівка, 85678",+380 49 010-22-50,ssavenko@example.com
Чубай,Олекса,Глібович,Чоловіча,1964-03-11,Няня,хутір Перечин,"узвіз Лінія 36-та, буд. 8, Луганськ, 73797",003 395 71 98,yzubko@example.org
Пʼятаченко,Охрім,Демидович,Чоловіча,1982-01-10,Режисер,село Мар'їнка,"провулок Сосюри, буд. 0, Ялта, 07732",498-72-58,hennadii68@example.net
Мамчур,Адам,Адамович,Чоловіча,1996-09-24,Детектив,село Свалява,"парк Єфімова, буд. 20, Василівка , 50400",967 97 44,romanshchors@example.com
Шеремет,Орхип,Аркадійович,Чоловіча,1980-12-31,Візажист,селище Сторожинець,"шосе Лермонтовський 2-й, буд. 1 кв. 893, Чигирин, 54152",003 256 04 48,maksymbabak@example.net
Гунько,Павло,Орхипович,Чоловіча,1940-08-07,Науковець,село Кодима,"сквер Смоленська, буд. 381 кв. 442, Бердянськ, 17659",669 01 84,zynoviiabramchuk@example.com
Усик,Георгій,Тарасович,Чоловіча,1976-03-30,Прокурор,хутір Белз,"сквер Промисловий, буд. 95, Ялта, 79523",+380 14 185-70-25,dishchak@example.com
Баклан,Руслан,Мирославович,Чоловіча,1941-03-03,Кіноактор,селище Калуш,"проспект Пересипська 2-га, буд. 9 кв. 9, Кам'янець-Подільський, 06503",+380 86 589 43 46,vladyslav80@example.com
Заїка,Гордій,Аркадійович,Чоловіча,1944-03-17,Історик,село Ніжин,"вулиця 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 47 кв. 738, Краматорськ, 29050",+380 95 304-29-47,vira10@example.com
Базилевич,Мартин,Федорович,Чоловіча,1991-08-09,Гицель,селище Чорнобиль,"узвіз 8-ма Лінія Дачі Ковалевського, буд. 097, Тисмениця, 63129",+380 42 340-88-07,opanasenkoarkadii@example.org
Петренко,Андрій,Євгенійович,Чоловіча,1960-12-19,Живописець,хутір Шахтарськ,"площа Магнітогорський 3-й, буд. 72 кв. 0, Косів, 16777",367-17-45,kavramenko@example.org
Франко,Адам,Валентинович,Чоловіча,1968-04-04,Мірошник,селище Збараж,"парк Композитора Глинки, буд. 279 кв. 616, Алчевськ, 42261",+380 69 711-98-50,tesliaanzhela@example.org
Ващенко-Захарченко,Зиновій,Ростиславович,Чоловіча,1980-08-29,Реабілітолог,хутір Шаргород,"парк Каркашадзе, буд. 2, Кам'янське, 46507",011 328 85 48,ruslan00@example.com
Саченко,Орест,Едуардович,Чоловіча,1951-11-13,Намотувальник,місто Лозова ,"парк Хаджибейська дорога, буд. 0, Хирів, 95560",+380 29 171 52 12,ielysaveta38@example.com
Приймак,Семен,Макарович,Чоловіча,1942-04-08,Акушер,хутір Алчевськ,"парк Могилівська, буд. 583 кв. 99, Новогродівка, 64071",+380 50 934-25-99,kredko@example.org
Масляк,Ярема,Аврелійович,Чоловіча,1985-07-21,Штукатур,хутір Луганськ,"набережна Професора Каришковського, буд. 82, Бахмут, 29206",+380 (14) 047-43-21,arsendubyna@example.net
Габелко,Герман,Федорович,Чоловіча,1950-11-19,Мовознавець,селище Бровари,"провулок Дунаєвського 1-й, буд. 1 кв. 862, Путивль, 96247",172-73-78,marianaustenko@example.net
Швачко,Омелян,Валерійович,Чоловіча,1967-05-10,Сценарист,хутір Донецьк,"провулок Рівності 2-й, буд. 930, Полтава, 23963",+380 88 666-28-62,trokhym90@example.net
Базилевський,Юхим,Аврелійович,Чоловіча,1949-10-09,Ветеринар,селище Новомосковськ,"провулок Десантний, буд. 59 кв. 37, Феодосія, 54112",+380 51 489 78 08,adam28@example.com
Наливайко,Максим,Ростиславович,Чоловіча,1963-11-18,Археолог,місто Кролевець,"шосе Маршала Малиновського, буд. 41 кв. 21, Золоте, 70963",946-33-44,sviatoslava03@example.net
Михалюк,Амвросій,Стефанович,Чоловіча,1972-11-15,Електромонтер,село Соледар,"набережна Проїзний 3-й, буд. 9, Козятин, 35564",074 411-76-88,varvaraarkhypenko@example.org
Масоха,Святослав,Леонідович,Чоловіча,1949-12-08,Шериф,хутір Гірське,"площа Комітетська, буд. 270, Бібрка, 04116",+380 73 879-85-78,sviatoslav03@example.net
Вернидуб,Леон,Симонович,Чоловіча,1940-02-14,Епідеміолог,хутір Городок,"проспект Зелений, буд. 43 кв. 073, Баранівка, 56010",043 269 81 70,zaichenkobohdanna@example.org
Червоненко,Антон,Костянтинович,Чоловіча,2005-03-07,Фотограф,хутір Карлівка,"шосе Литовська, буд. 1 кв. 7, Маріуполь, 02648",+380 (34) 419-41-03,marusiashelest@example.net
Устенко,Орхип,Романович,Чоловіча,1938-03-16,Краєзнавець,селище Борзна,"набережна Бісквітний, буд. 6, Сєвєродонецьк, 15347",+380 58 970-87-27,tovstukhademyd@example.net
Зінкевич,Орест,Єлисейович,Чоловіча,1981-07-20,Фермер,місто Ялта,"вулиця Банний, буд. 5 кв. 66, Дубно, 68410",539 08 80,bohodarbaranyk@example.com
Вишняк,Захар,Несторович,Чоловіча,1997-01-05,Дерун,селище Харків,"узвіз Ванний, буд. 37, Устилуг, 74034",050 144 74 40,veniiamyn10@example.org
Баранник,Алевтин,Олесьович,Чоловіча,1998-01-05,Піаніст,хутір Кодима,"парк Теліги Олени, буд. 3, Рені, 84979",+380 82 796-06-04,prokhirsomko@example.com
Каденюк,Орест,Русланович,Чоловіча,2001-06-15,Державний службовець,місто Татарбунари,"парк Рощева, буд. 5, Кам'янка (Черкаська область), 65100",+380 59 517 37 67,huzolena@example.net
Андрієвич,Альберт,Демидович,Чоловіча,1998-03-08,Каскадер,село Городенка,"набережна Навігаційний, буд. 065 кв. 27, Ямпіль, 68287",+380 46 990-09-72,teslenkovalentyna@example.org
Товстоліс,Левко,Данилович,Чоловіча,1998-04-15,Ювелір,селище Бар,"набережна Одеська, буд. 1 кв. 1, Світловодськ, 62858",+380 48 457 22 12,ekaras@example.net
Дашкевич,Вʼячеслав,Миронович,Чоловіча,1947-09-22,Електромонтажник,хутір Ялта,"проспект Каманіна, буд. 46 кв. 7, Молочанськ, 68327",+380 (21) 170-87-38,maksym09@example.net
Стус,Станіслав,Павлович,Чоловіча,1969-06-01,Музичний редактор,хутір Охтирка,"шосе Панченка, буд. 957, Волноваха, 49360",596-49-23,pdotsenko@example.com
Гаєвський,Ярослав,Альбертович,Чоловіча,1963-05-30,Підприємець,хутір Нетішин,"провулок Луценка Івана, буд. 6 кв. 083, Богуслав, 34641",+380 (33) 939-34-34,iustymiaremenko@example.net
Юрчук,Зиновій,Хомович,Чоловіча,1949-04-21,Зоолог,селище Білозерське,"площа Кордонний, буд. 29, Копичинці, 56074",000 202 11 45,qdubyna@example.org
Полтавець,Борис,Станіславович,Чоловіча,1947-08-23,Мірошник,селище Білозерське,"вулиця Єліна, буд. 77 кв. 631, Ічня, 04248",012 692 66 44,verkholaustym@example.org
